id,servico,tempo,valor,categoria,custo_produto,custo_lavagem
282547,Corte Masculino Segunda a Quinta,30,67.0,Corte Masculino,50.0,5.0
282548,Corte Masculino Sexta e Sábado,30,77.0,Corte Masculino,0.0,0.0
282549,Corte Feminino Segunda a Quinta,30,115.0,Corte Feminino,0.0,0.0
282552,Escova Lisa,60,55.0,Escova,0.0,0.0
282553,Escova Crespa,60,70.0,Escova,0.0,0.0
282555,Corte Feminino Sexta e Sabado,30,115.0,Corte Feminino,0.0,0.0
282556,Tonalizante Masculino.,10,30.0,Coloração,0.0,0.0
282572,Mega  Hair,240,450.0,Mega Hair,0.0,0.0
282573,Interlace a Faixa,20,75.0,Mega Hair,0.0,0.0
282576,Design de Sobrancelha,20,50.0,Sobrancelha,0.0,0.0
282577,Henna,30,30.0,Sobrancelha,0.0,0.0
282578,Maquiagem definitiva,80,550.0,Sobrancelha,0.0,0.0
282579,Maquiagem definitiva anual,80,490.0,Sobrancelha,0.0,0.0
282580,Maquiagem definitiva Retoque Mês,20,0.0,Sobrancelha,0.0,0.0
282584,Penteado.,20,130.0,Pentado,0.0,0.0
282587,Alongamento de Cílios,130,195.0,Estética Facial,0.0,0.0
282588,Mechas Mega,10,10.0,Mega Hair,0.0,0.0
282592,Escova Corte Segquinta,60,30.0,Escova,0.0,0.0
282593,Escova Corte Sextasabado,60,30.0,Escova,0.0,0.0
282601,Hidratação Keune,20,65.0,Lavatório,0.0,0.0
282620,Dep. buço maicon,20,20.0,Depilação,0.0,0.0
282629,Aluguel Aplique,60,80.0,Mega Hair,0.0,0.0
282674,Mega Hair ,30,40.0,Mega Hair,0.0,0.0
282689,Venda Cabelo,1,800.0,Mega Hair,0.0,0.0
282734,Barba,40,35.0,Corte Masculino,0.0,0.0
282754,Tonalizante,20,60.0,Coloração,0.0,0.0
282807,Alisamento,40,86.0,Alisamento,0.0,0.0
282811,Depilação Rosto,30,35.0,Depilação,0.0,0.0
282813,Depilação Nariz,10,20.0,Depilação,0.0,0.0
282816,Corte Com Escova ,60,105.0,Corte Feminino,0.0,0.0
282817,Corte Sem Escova Virginia,40,75.0,Corte Feminino,0.0,0.0
282826,Corte Bordado Com Escova,80,112.0,Corte Feminino,0.0,0.0
282832,Pacote Hidratação - Com Escova,60,370.0,Escova,0.0,0.0
282835,Reconstrução Capilar Miracle,30,120.0,Lavatório,0.0,0.0
282836,Mechas Rui,100,187.0,Mechas,0.0,0.0
282838,Alisamento Progressivo ,120,350.0,Alisamento,0.0,0.0
286870,Alongamento de Cílios Manutenção,90,95.0,Estética Facial,0.0,0.0
